"category_id","event_count","pv_count","cart_count","fav_count","buy_count","buy_pv_rate"
"2735466","13777","12063","981","370","363","3.01"
"1464116","8279","7118","558","251","352","4.95"
"4145813","33841","30671","1642","1202","326","1.06"
"2885642","10519","9326","528","355","310","3.32"
"4801426","20754","18620","1210","644","280","1.50"
"4756105","51877","47787","2236","1594","260","0.54"
"982926","30797","28066","1625","869","237","0.84"
"1320293","19264","17641","944","508","171","0.97"
"2640118","9035","8025","690","150","170","2.12"
"3002561","15173","13773","749","483","168","1.22"
"4357323","7426","6536","493","230","167","2.56"
"4159072","2305","1933","138","69","165","8.54"
"4789432","3559","3130","222","56","151","4.82"
"1299190","5387","4781","313","149","144","3.01"
"3607361","31226","29306","1115","661","144","0.49"
"903809","3721","3212","272","95","142","4.42"
"2465336","17128","15561","878","552","137","0.88"
"4217906","10556","9501","605","314","136","1.43"
"570735","6516","5707","448","231","130","2.28"
"1029459","4638","4103","263","144","128","3.12"
