"behavior_date","event_count","pv_events","uv","buy_events","paying_users"
"2017-09-11","1","1","1","0","0"
"2017-11-06","1","1","1","0","0"
"2017-11-10","1","1","1","0","0"
"2017-11-12","2","2","2","0","0"
"2017-11-13","1","1","1","0","0"
"2017-11-14","1","1","1","0","0"
"2017-11-16","2","2","2","0","0"
"2017-11-17","5","5","2","0","0"
"2017-11-18","4","4","4","0","0"
"2017-11-19","5","5","5","0","0"
"2017-11-20","1","1","1","0","0"
"2017-11-21","12","12","10","0","0"
"2017-11-22","13","13","9","0","0"
"2017-11-23","47","47","33","0","0"
"2017-11-24","12534","11330","1870","188","133"
"2017-11-25","105157","94656","6977","1938","1296"
"2017-11-26","105019","94037","7120","2122","1371"
"2017-11-27","97748","87328","7003","2191","1389"
"2017-11-28","99462","88913","7016","2189","1384"
"2017-11-29","102624","91743","7141","2300","1474"
"2017-11-30","105393","94533","7242","2292","1486"
"2017-12-01","112545","100934","7402","2193","1449"
"2017-12-02","139436","125130","9314","2549","1718"
"2017-12-03","119986","107406","9092","2397","1646"
