"behavior_hour","event_count","pv","active_users","buy_events"
0,"33521","30021","4370","643"
1,"41742","37190","5158","970"
2,"49019","43656","5762","1279"
3,"48029","42710","5815","1272"
4,"47314","42179","5876","1264"
5,"51922","46470","6059","1334"
6,"51189","45939","5879","1178"
7,"52611","47262","5989","1214"
8,"52503","46905","5996","1252"
9,"46517","41433","5780","1081"
10,"47588","42937","5693","898"
11,"61008","55057","6219","1181"
12,"72603","65447","6560","1355"
13,"83295","75094","6720","1380"
14,"83389","74749","6459","1367"
15,"62810","55847","5060","962"
16,"33753","30397","3091","576"
17,"15422","13856","1613","236"
18,"8922","7986","981","148"
19,"6253","5636","700","65"
20,"5485","4970","629","88"
21,"6724","6060","852","73"
22,"13574","12074","1744","155"
23,"24807","22231","3250","388"
