hour,event_count,uv,active_items,pv,fav,cart,buy
0,74748,9579,55910,66919,2201,4231,1397
1,90984,11241,65966,81156,2754,5018,2056
2,105521,12480,75277,93854,3191,5747,2729
3,104449,12671,74942,92612,3268,5832,2737
4,104706,12847,75639,93269,3099,5698,2640
5,115054,13076,81708,102820,3410,6039,2785
6,111499,12744,79522,99949,3086,5902,2562
7,116436,13008,81591,104229,3345,6192,2670
8,112806,12911,80436,101099,3158,5996,2553
9,101796,12532,73491,90644,3124,5781,2247
10,104427,12499,75249,94089,2862,5447,2029
11,131309,13478,91345,118276,3564,6965,2504
12,159377,14284,107219,143467,4311,8656,2943
13,181031,14609,118606,162988,4759,10220,3064
14,179370,13957,117326,160763,5114,10522,2971
15,137134,11046,94073,121942,4204,8854,2134
16,66023,6453,50456,59203,2007,3663,1150
17,29884,3270,24598,26860,857,1708,459
18,17030,1932,14522,15210,601,947,272
19,12271,1393,10570,11040,376,737,118
20,10395,1233,8870,9369,295,573,158
21,12044,1632,10416,10735,400,744,165
22,25277,3522,21067,22528,861,1540,348
23,47225,6530,37243,42413,1319,2778,715
