item_id,date,event_count,uv,pv,fav,cart,buy
59883,2017-11-25,24,22,24,0,0,0
59883,2017-11-26,34,34,34,0,0,0
59883,2017-11-27,39,39,36,0,3,0
59883,2017-11-28,36,36,36,0,0,0
59883,2017-11-29,48,48,46,1,1,0
59883,2017-11-30,65,64,65,0,0,0
59883,2017-12-01,41,41,40,0,1,0
59883,2017-12-02,64,63,60,1,3,0
59883,2017-12-03,38,38,38,0,0,0
105055,2017-11-25,28,27,27,1,0,0
105055,2017-11-26,31,28,29,0,2,0
105055,2017-11-27,24,20,23,0,1,0
105055,2017-11-28,22,20,19,1,1,1
105055,2017-11-29,15,15,15,0,0,0
105055,2017-11-30,8,7,8,0,0,0
105055,2017-12-01,25,22,24,0,1,0
105055,2017-12-02,28,27,26,2,0,0
105055,2017-12-03,20,20,20,0,0,0
138964,2017-11-25,44,35,38,3,2,1
138964,2017-11-26,32,27,31,0,1,0
138964,2017-11-27,34,27,31,1,2,0
138964,2017-11-28,29,25,27,1,1,0
138964,2017-11-29,51,35,50,1,0,0
138964,2017-11-30,58,49,53,3,2,0
138964,2017-12-01,59,43,54,0,4,1
138964,2017-12-02,112,94,108,0,3,1
138964,2017-12-03,42,38,41,0,1,0
181419,2017-11-25,19,15,18,0,1,0
181419,2017-11-26,28,15,26,0,0,2
181419,2017-11-27,15,12,15,0,0,0
181419,2017-11-28,13,12,13,0,0,0
181419,2017-11-29,16,14,13,2,1,0
181419,2017-11-30,25,20,24,1,0,0
181419,2017-12-01,31,16,29,1,1,0
181419,2017-12-02,17,14,17,0,0,0
181419,2017-12-03,28,22,27,0,1,0
207994,2017-11-25,26,22,21,0,4,1
207994,2017-11-26,14,14,12,0,2,0
207994,2017-11-27,14,14,12,1,1,0
207994,2017-11-28,11,11,11,0,0,0
207994,2017-11-29,19,18,19,0,0,0
207994,2017-11-30,24,20,24,0,0,0
207994,2017-12-01,26,22,22,1,3,0
207994,2017-12-02,32,31,30,2,0,0
207994,2017-12-03,21,16,17,1,3,0
232919,2017-11-25,7,7,6,1,0,0
232919,2017-11-26,15,13,10,3,1,1
232919,2017-11-27,19,13,15,0,1,3
232919,2017-11-28,19,13,16,0,2,1
232919,2017-11-29,14,9,11,1,2,0
232919,2017-11-30,26,19,22,1,3,0
232919,2017-12-01,39,26,32,1,4,2
232919,2017-12-02,27,22,26,0,1,0
232919,2017-12-03,29,25,26,0,3,0
240034,2017-11-25,18,18,16,1,1,0
240034,2017-11-26,30,26,26,2,2,0
240034,2017-11-27,29,27,27,1,1,0
240034,2017-11-28,19,18,19,0,0,0
240034,2017-11-29,16,16,16,0,0,0
240034,2017-11-30,20,20,19,1,0,0
240034,2017-12-01,32,31,29,0,3,0
240034,2017-12-02,34,29,33,0,0,1
240034,2017-12-03,19,16,19,0,0,0
250498,2017-11-25,13,13,12,0,1,0
250498,2017-11-26,20,17,19,1,0,0
250498,2017-11-27,17,16,17,0,0,0
250498,2017-11-28,25,17,21,2,2,0
250498,2017-11-29,21,19,19,1,1,0
250498,2017-11-30,27,26,24,2,1,0
250498,2017-12-01,21,21,21,0,0,0
250498,2017-12-02,28,24,28,0,0,0
250498,2017-12-03,23,22,23,0,0,0
297610,2017-11-25,11,9,11,0,0,0
297610,2017-11-26,7,4,6,1,0,0
297610,2017-11-27,11,9,8,1,2,0
297610,2017-11-28,21,17,19,0,2,0
297610,2017-11-29,36,21,34,1,1,0
297610,2017-11-30,37,23,32,0,5,0
297610,2017-12-01,34,25,29,1,3,1
297610,2017-12-02,43,26,38,4,1,0
297610,2017-12-03,41,24,39,0,1,1
320169,2017-11-25,8,8,6,0,0,2
320169,2017-11-26,11,10,11,0,0,0
320169,2017-11-27,12,10,12,0,0,0
320169,2017-11-28,7,7,7,0,0,0
320169,2017-11-29,15,11,15,0,0,0
320169,2017-11-30,20,20,19,0,0,1
320169,2017-12-01,37,34,35,1,0,1
320169,2017-12-02,45,41,41,0,2,2
320169,2017-12-03,33,30,32,0,0,1
342576,2017-11-25,31,23,31,0,0,0
342576,2017-11-26,24,24,23,0,1,0
342576,2017-11-27,19,16,16,0,3,0
342576,2017-11-28,23,18,19,2,2,0
342576,2017-11-29,15,14,14,1,0,0
342576,2017-11-30,23,21,23,0,0,0
342576,2017-12-01,33,27,32,0,1,0
342576,2017-12-02,23,23,20,2,1,0
342576,2017-12-03,22,18,21,1,0,0
363858,2017-11-25,28,27,24,1,3,0
363858,2017-11-26,33,27,30,1,0,2
363858,2017-11-27,19,17,16,2,1,0
363858,2017-11-28,28,27,25,1,2,0
363858,2017-11-29,12,12,11,0,1,0
363858,2017-11-30,28,26,27,0,1,0
363858,2017-12-01,34,33,31,1,1,1
363858,2017-12-02,27,25,24,0,3,0
363858,2017-12-03,24,19,22,0,2,0
393880,2017-11-25,23,15,20,0,3,0
393880,2017-11-26,29,23,27,0,2,0
393880,2017-11-27,17,13,15,1,1,0
393880,2017-11-28,16,14,14,2,0,0
393880,2017-11-29,12,8,9,0,3,0
393880,2017-11-30,30,21,28,0,2,0
393880,2017-12-01,26,20,23,1,2,0
393880,2017-12-02,21,20,21,0,0,0
393880,2017-12-03,31,26,28,2,0,1
395399,2017-11-25,19,15,15,1,3,0
395399,2017-11-26,25,21,21,0,2,2
395399,2017-11-27,24,19,22,0,2,0
395399,2017-11-28,29,25,23,3,1,2
395399,2017-11-29,20,18,18,0,1,1
395399,2017-11-30,32,23,28,0,3,1
395399,2017-12-01,24,23,22,0,2,0
395399,2017-12-02,37,31,37,0,0,0
395399,2017-12-03,33,24,27,0,5,1
602041,2017-11-25,30,24,24,2,4,0
602041,2017-11-26,29,26,26,1,2,0
602041,2017-11-27,18,14,17,0,0,1
602041,2017-11-28,23,20,20,1,2,0
602041,2017-11-29,17,15,17,0,0,0
