item_id,hour,event_count,uv,pv,fav,cart,buy
59883,0,17,16,15,0,2,0
59883,1,15,15,15,0,0,0
59883,2,10,10,10,0,0,0
59883,3,10,10,10,0,0,0
59883,4,21,20,21,0,0,0
59883,5,22,22,21,0,1,0
59883,6,16,15,16,0,0,0
59883,7,17,17,16,1,0,0
59883,8,26,26,24,0,2,0
59883,9,16,16,16,0,0,0
59883,10,14,14,13,0,1,0
59883,11,21,21,20,0,1,0
59883,12,27,27,27,0,0,0
59883,13,42,41,42,0,0,0
59883,14,36,36,35,1,0,0
59883,15,33,32,33,0,0,0
59883,16,11,11,11,0,0,0
59883,17,6,6,6,0,0,0
59883,18,2,2,2,0,0,0
59883,19,10,10,10,0,0,0
59883,21,2,2,1,0,1,0
59883,22,6,6,6,0,0,0
59883,23,9,9,9,0,0,0
105055,0,3,3,3,0,0,0
105055,1,10,10,10,0,0,0
105055,2,6,6,5,1,0,0
105055,3,11,11,10,1,0,0
105055,4,11,10,11,0,0,0
105055,5,11,11,10,1,0,0
105055,6,11,11,11,0,0,0
105055,7,7,7,6,0,1,0
105055,8,11,10,11,0,0,0
105055,9,12,10,10,0,2,0
105055,10,9,9,9,0,0,0
105055,11,12,12,12,0,0,0
105055,12,16,16,15,0,0,1
105055,13,16,16,16,0,0,0
105055,14,20,19,19,0,1,0
105055,15,17,14,17,0,0,0
105055,16,4,4,3,1,0,0
105055,17,2,2,2,0,0,0
105055,18,2,2,2,0,0,0
105055,19,2,2,2,0,0,0
105055,20,1,1,1,0,0,0
105055,21,1,1,1,0,0,0
105055,22,1,1,1,0,0,0
105055,23,5,5,4,0,1,0
138964,0,12,10,10,0,2,0
138964,1,23,16,23,0,0,0
138964,2,8,7,8,0,0,0
138964,3,15,15,14,0,0,1
138964,4,20,16,19,0,1,0
138964,5,19,19,18,0,1,0
138964,6,26,22,25,0,1,0
138964,7,21,17,21,0,0,0
138964,8,26,23,22,1,3,0
138964,9,29,23,27,1,1,0
138964,10,32,29,31,1,0,0
138964,11,47,37,41,3,3,0
138964,12,40,38,37,2,1,0
138964,13,55,44,54,0,1,0
138964,14,33,29,30,1,1,1
138964,15,19,19,19,0,0,0
138964,16,5,5,5,0,0,0
138964,17,2,2,2,0,0,0
138964,19,2,1,2,0,0,0
138964,20,1,1,1,0,0,0
138964,21,1,1,1,0,0,0
138964,22,10,9,10,0,0,0
138964,23,15,15,13,0,1,1
181419,0,5,5,5,0,0,0
181419,1,7,7,7,0,0,0
181419,2,13,12,13,0,0,0
181419,3,12,8,9,0,2,1
181419,4,16,10,14,1,0,1
181419,5,9,8,9,0,0,0
181419,6,5,5,5,0,0,0
181419,7,15,12,15,0,0,0
181419,8,20,12,20,0,0,0
181419,9,2,1,2,0,0,0
181419,10,9,9,9,0,0,0
181419,11,12,9,12,0,0,0
181419,12,11,8,10,1,0,0
181419,13,21,15,21,0,0,0
181419,14,11,10,11,0,0,0
181419,15,9,8,8,0,1,0
181419,16,10,10,8,1,1,0
181419,17,2,2,2,0,0,0
181419,23,3,2,2,1,0,0
207994,0,5,5,4,0,1,0
207994,1,9,9,8,0,1,0
207994,2,8,8,8,0,0,0
207994,3,6,6,5,0,1,0
207994,4,13,12,12,1,0,0
207994,5,9,8,5,3,1,0
207994,6,8,7,8,0,0,0
207994,7,8,8,8,0,0,0
207994,8,11,11,7,0,4,0
207994,9,20,15,17,1,2,0
207994,10,10,8,10,0,0,0
207994,11,11,10,10,0,1,0
207994,12,10,10,9,0,1,0
207994,13,17,17,17,0,0,0
207994,14,18,16,18,0,0,0
207994,15,11,10,9,0,1,1
207994,16,6,6,6,0,0,0
207994,17,1,1,1,0,0,0
207994,18,1,1,1,0,0,0
207994,20,3,3,3,0,0,0
207994,22,1,1,1,0,0,0
207994,23,1,1,1,0,0,0
232919,0,12,11,12,0,0,0
232919,1,6,5,5,1,0,0
232919,2,8,8,8,0,0,0
232919,3,7,6,7,0,0,0
232919,4,6,6,5,1,0,0
232919,5,8,6,7,0,1,0
232919,6,8,7,7,0,1,0
232919,7,13,8,10,1,1,1
232919,8,8,7,4,0,2,2
232919,9,12,10,11,0,1,0
232919,10,12,11,10,0,2,0
232919,11,6,6,6,0,0,0
232919,12,18,10,10,2,3,3
232919,13,31,19,27,0,3,1
232919,14,14,12,13,0,1,0
232919,15,8,8,6,1,1,0
232919,16,2,2,2,0,0,0
232919,17,5,4,4,0,1,0
232919,18,1,1,1,0,0,0
232919,19,1,1,1,0,0,0
232919,22,1,1,1,0,0,0
232919,23,8,8,7,1,0,0
240034,0,7,7,7,0,0,0
240034,1,7,7,6,0,1,0
240034,2,14,12,14,0,0,0
240034,3,11,11,11,0,0,0
240034,4,10,10,10,0,0,0
240034,5,15,15,14,0,0,1
240034,6,14,14,12,1,1,0
240034,7,11,10,11,0,0,0
240034,8,14,14,14,0,0,0
240034,9,8,8,8,0,0,0
240034,10,11,11,9,0,2,0
240034,11,7,5,6,1,0,0
240034,12,18,18,16,1,1,0
240034,13,20,18,19,0,1,0
240034,14,21,21,20,1,0,0
240034,15,17,17,15,1,1,0
240034,16,6,6,6,0,0,0
240034,19,1,1,1,0,0,0
240034,20,1,1,1,0,0,0
240034,22,2,2,2,0,0,0
240034,23,2,2,2,0,0,0
250498,0,11,9,11,0,0,0
250498,1,10,9,7,3,0,0
250498,2,5,5,5,0,0,0
250498,3,17,14,17,0,0,0
250498,4,8,7,8,0,0,0
250498,5,9,9,7,1,1,0
250498,6,9,9,8,0,1,0
250498,7,8,8,7,0,1,0
250498,8,14,11,13,0,1,0
250498,9,3,3,3,0,0,0
250498,10,11,8,11,0,0,0
250498,11,17,15,17,0,0,0
250498,12,11,11,11,0,0,0
250498,13,13,13,13,0,0,0
250498,14,18,18,18,0,0,0
250498,15,9,9,9,0,0,0
250498,16,3,3,3,0,0,0
250498,17,4,4,3,0,1,0
250498,19,4,2,4,0,0,0
250498,20,4,1,4,0,0,0
250498,22,4,3,3,1,0,0
