cohort_date,day_number,retained_users,cohort_users,retention_rate
2017-11-25,0,15100,15100,1.0
2017-11-25,1,11880,15100,0.7867549668874172
2017-11-25,2,11546,15100,0.7646357615894039
2017-11-25,3,11503,15100,0.7617880794701987
2017-11-25,4,11533,15100,0.763774834437086
2017-11-25,5,11606,15100,0.7686092715231788
2017-11-25,6,11924,15100,0.7896688741721855
2017-11-25,7,14503,15100,0.9604635761589404
2017-11-25,8,14179,15100,0.9390066225165563
2017-11-26,0,3492,3492,1.0
2017-11-26,1,2254,3492,0.645475372279496
2017-11-26,2,2253,3492,0.6451890034364262
2017-11-26,3,2341,3492,0.670389461626575
2017-11-26,4,2367,3492,0.6778350515463918
2017-11-26,5,2471,3492,0.7076174112256587
2017-11-26,6,3309,3492,0.947594501718213
2017-11-26,7,3227,3492,0.9241122565864834
2017-11-27,0,1389,1389,1.0
2017-11-27,1,847,1389,0.6097912167026638
2017-11-27,2,859,1389,0.6184305255579554
2017-11-27,3,910,1389,0.6551475881929446
2017-11-27,4,917,1389,0.660187185025198
2017-11-27,5,1301,1389,0.9366450683945284
2017-11-27,6,1246,1389,0.8970482361411087
2017-11-28,0,645,645,1.0
2017-11-28,1,379,645,0.5875968992248062
2017-11-28,2,436,645,0.6759689922480621
2017-11-28,3,457,645,0.7085271317829457
2017-11-28,4,599,645,0.9286821705426357
2017-11-28,5,580,645,0.8992248062015504
2017-11-29,0,381,381,1.0
2017-11-29,1,259,381,0.6797900262467191
2017-11-29,2,268,381,0.7034120734908137
2017-11-29,3,351,381,0.9212598425196851
2017-11-29,4,340,381,0.8923884514435696
2017-11-30,0,181,181,1.0
2017-11-30,1,164,181,0.9060773480662984
2017-11-30,2,167,181,0.9226519337016574
2017-11-30,3,162,181,0.8950276243093923
2017-12-01,0,11,11,1.0
2017-12-01,1,10,11,0.9090909090909091
2017-12-01,2,8,11,0.7272727272727273
2017-12-02,0,3,3,1.0
2017-12-02,1,3,3,1.0
