category_id,event_count,uv,item_count,pv,fav,cart,buy,buy_pv_rate
4756105,115556,9390,14978,106439,3428,5090,599,0.005627636486626142
4145813,76445,8319,16452,69345,2561,3795,744,0.01072896387627082
2355072,72232,8039,14528,67430,1851,2682,269,0.003989322260121607
3607361,67159,7295,9959,63112,1467,2309,271,0.004293953606287235
982926,65449,8750,13293,59674,1912,3362,501,0.008395616181251467
4801426,46164,7224,10167,41446,1479,2643,596,0.014380157313130339
2520377,45484,6537,14287,42079,1311,1887,207,0.004919318424867511
1320293,41159,7659,11143,37632,1175,2010,342,0.009088010204081632
2465336,37465,5973,10057,33994,1247,1917,307,0.009031005471553803
3002561,34254,5927,9528,30878,1192,1791,393,0.012727508258306885
2735466,28170,5918,4581,24543,781,2062,784,0.03194393513425416
4181361,25126,3813,7955,22504,1049,1368,205,0.009109491645929613
149192,24258,4453,6695,21660,909,1402,287,0.013250230840258542
1080785,23696,5193,5250,21921,791,881,103,0.004698690753159071
2885642,22809,3439,8724,20266,715,1167,661,0.03261620448041054
4217906,22694,4586,5680,20278,777,1343,296,0.014597100305750075
3738615,20390,2870,4203,18474,450,1250,216,0.011692107827216629
154040,19776,3240,4537,18584,546,589,57,0.0030671545415411105
1879194,18938,3283,4264,17099,610,933,296,0.0173109538569507
1464116,18381,4069,4133,15650,584,1348,799,0.051054313099041536
2640118,18346,2812,5159,16253,335,1368,390,0.02399557004860641
4357323,16801,2762,4351,14945,513,984,359,0.024021411843425895
2520771,15820,3903,5159,14239,476,852,253,0.017768101692534587
570735,15148,3048,3812,13240,551,1061,296,0.022356495468277945
2920476,14950,3728,4024,13757,511,624,58,0.004216035472850185
4170419,13358,2664,3046,12422,296,493,147,0.011833843181452261
4643350,12221,2807,2679,11187,335,585,114,0.010190399570930545
1299190,11563,2401,3831,10302,352,615,294,0.028538147932440302
2939262,11368,2468,4089,10226,354,562,226,0.022100528065714845
2096639,11162,2330,1536,10685,133,254,90,0.008423022929340197
1575622,10930,2209,3358,9519,420,743,248,0.026053156844206324
1859277,10871,2523,3218,10068,243,476,84,0.00834326579261025
1029459,10219,2424,3030,9059,335,552,273,0.030135776575780992
411153,10110,2170,2478,8946,318,711,135,0.015090543259557344
3299155,9217,1416,3285,8331,268,483,135,0.01620453727043572
2578647,8696,1654,2472,7781,178,598,139,0.01786402775992803
4022701,8687,1809,1971,7958,151,500,78,0.009801457652676551
4690421,8678,2021,1685,7658,370,527,123,0.01606163489161661
2131531,8323,2262,3190,7558,284,404,77,0.010187880391638
4789432,7944,1805,2501,6960,154,497,333,0.047844827586206895
883960,7897,2200,1512,6897,252,567,181,0.026243294185877918
5071267,7712,1986,2891,7058,233,325,96,0.013601586851799376
903809,7571,1922,1758,6524,199,533,315,0.048283261802575105
1051370,7380,1937,2727,6636,283,342,119,0.017932489451476793
753984,7121,1530,2805,6400,216,429,76,0.011875
2926020,6952,1568,1706,6117,189,534,112,0.018309628903057054
285583,6923,1026,1853,6214,147,448,114,0.018345671065336338
2558244,6810,1689,1996,6233,155,366,56,0.008984437670463662
5053508,6806,1538,2093,6006,221,359,220,0.03663003663003663
200278,6686,2006,1910,6059,126,397,104,0.017164548605380425
