item_id,category_id,event_count,uv,pv,fav,cart,buy,buy_pv_rate
59883,4818107,389,378,379,2,8,0,0.0
105055,1080785,201,166,191,4,5,1,0.005235602094240838
138964,3607361,461,300,433,9,16,3,0.006928406466512702
181419,2355072,192,107,182,4,4,2,0.01098901098901099
207994,4756105,187,146,168,5,13,1,0.005952380952380952
232919,4145813,195,124,164,7,17,7,0.042682926829268296
240034,1080785,217,192,204,5,7,1,0.004901960784313725
250498,982926,195,166,184,6,5,0,0.0
297610,4756105,241,127,216,8,15,2,0.009259259259259259
320169,2632873,188,161,178,1,2,7,0.03932584269662921
342576,1080785,213,165,199,6,8,0,0.0
363858,2735466,233,199,210,6,14,3,0.014285714285714285
393880,2355072,205,136,185,6,13,1,0.005405405405405406
395399,1320293,243,162,213,4,19,7,0.03286384976525822
602041,4643350,235,181,217,6,11,1,0.004608294930875576
640975,2355072,276,218,257,11,8,0,0.0
705557,3158249,308,201,261,5,27,15,0.05747126436781609
726505,3607361,203,144,183,1,13,6,0.03278688524590164
740947,904454,200,171,164,13,15,8,0.04878048780487805
775348,339305,198,191,193,1,4,0,0.0
812879,4756105,683,445,635,18,28,2,0.0031496062992125984
866111,2465336,218,152,205,4,9,0,0.0
987143,2355072,354,264,326,11,17,0,0.0
1154789,4801426,193,147,175,6,9,3,0.017142857142857144
1164931,3138705,220,208,194,9,17,0,0.0
1223110,3607361,270,186,254,4,12,0,0.0
1402604,982926,234,163,203,5,21,5,0.024630541871921183
1444258,2735466,253,204,225,3,15,10,0.044444444444444446
1457948,4756105,193,124,179,6,7,1,0.00558659217877095
1459442,4756105,188,121,174,6,8,0,0.0
1535294,3848953,446,389,386,18,30,12,0.031088082901554404
1541734,982926,204,160,190,4,10,0,0.0
1583704,4801426,336,291,307,13,14,2,0.006514657980456026
1591862,1320293,354,273,354,0,0,0,0.0
1684440,2735466,190,141,148,8,25,9,0.060810810810810814
1699547,154040,220,187,206,6,8,0,0.0
1773536,2096639,225,145,216,0,7,2,0.009259259259259259
1819353,2495340,210,200,197,2,9,2,0.01015228426395939
1864347,4756105,200,142,187,10,3,0,0.0
1886236,4756105,213,167,197,3,12,1,0.005076142131979695
1951985,2735466,246,221,229,7,10,0,0.0
1962765,4756105,206,127,191,4,7,4,0.020942408376963352
1989476,4756105,187,115,173,3,10,1,0.005780346820809248
2032668,1080785,504,374,469,13,18,4,0.008528784648187633
2099112,4756105,203,143,186,3,14,0,0.0
2161188,3807763,199,190,188,6,5,0,0.0
2167765,2096639,269,138,249,7,6,7,0.028112449799196786
2236861,2096639,225,106,214,2,6,3,0.014018691588785047
2279428,2303546,354,334,303,24,27,0,0.0
2319849,2520377,188,148,175,3,9,1,0.005714285714285714
2331370,3607361,490,381,443,16,28,3,0.006772009029345372
2338453,3607361,411,311,376,11,19,5,0.013297872340425532
2353009,4048584,226,212,204,8,12,2,0.00980392156862745
2353750,4756105,205,123,188,8,9,0,0.0
2364679,4756105,287,192,256,16,15,0,0.0
2367945,1859277,352,272,352,0,0,0,0.0
2400640,1040727,230,217,225,3,2,0,0.0
2453685,3664107,370,342,331,16,19,4,0.012084592145015106
2521928,4801426,240,174,214,7,15,4,0.018691588785046728
2530033,4756105,187,128,174,3,10,0,0.0
2560262,2735466,307,186,257,5,30,15,0.058365758754863814
2667082,4583654,210,194,188,8,10,4,0.02127659574468085
2778083,4756105,214,111,195,10,9,0,0.0
2783905,4756105,256,148,231,11,13,1,0.004329004329004329
2790543,3158249,314,199,286,8,13,7,0.024475524475524476
2818406,982926,370,305,324,21,21,4,0.012345679012345678
2828948,4145813,239,169,218,9,11,1,0.0045871559633027525
2964774,1265358,199,118,165,0,19,15,0.09090909090909091
3000506,4643350,189,176,178,5,6,0,0.0
3011437,4756105,261,152,244,8,8,1,0.004098360655737705
3031354,2735466,483,327,421,4,42,16,0.03800475059382423
3077270,982926,215,147,187,6,20,2,0.0106951871657754
3080593,3607361,187,133,173,6,8,0,0.0
3159978,4756105,277,181,247,14,14,2,0.008097165991902834
3244134,4801426,200,136,180,3,16,1,0.005555555555555556
3330337,4756105,288,201,249,15,23,1,0.004016064257028112
3371523,1859277,378,292,376,0,2,0,0.0
3403645,3607361,215,156,200,7,7,1,0.005
3520504,2355072,306,244,286,8,10,2,0.006993006993006993
3529591,4756105,224,142,209,6,8,1,0.004784688995215311
3563468,4801426,335,257,299,6,22,8,0.026755852842809364
3685477,1464116,191,118,168,2,10,11,0.06547619047619048
3708121,4756105,369,173,347,6,12,4,0.011527377521613832
3715112,883960,258,164,229,7,13,9,0.039301310043668124
3761770,1080785,207,160,182,14,11,0,0.0
3836557,4756105,247,163,227,7,13,0,0.0
3845720,3607361,527,358,499,14,13,1,0.002004008016032064
3920968,4756105,334,223,313,4,15,2,0.006389776357827476
3990990,4756105,207,130,185,5,16,1,0.005405405405405406
4091349,3607361,305,212,273,11,17,4,0.014652014652014652
4211339,4756105,403,312,377,9,17,0,0.0
4293038,4756105,209,118,192,6,8,3,0.015625
4443059,570735,337,255,313,3,14,7,0.022364217252396165
4491210,4756105,200,129,188,5,6,1,0.005319148936170213
4525461,4756105,202,122,190,4,8,0,0.0
4550052,4217906,190,154,176,5,7,2,0.011363636363636364
4622270,1906712,213,210,203,5,4,1,0.0049261083743842365
4649427,4756105,329,250,300,7,22,0,0.0
4793966,2355072,198,136,185,7,6,0,0.0
5128303,4756105,218,147,206,7,5,0,0.0
