record_type,analysis_start,analysis_end,total_events,total_users,total_items,total_categories,buy_events,paying_users,repeat_buy_users,repeat_buy_rate,behavior_type,event_count,event_ratio,date,uv,active_items,pv,fav,cart,buy,hour,total_behavior_count,valid_conversion_count,conversion_to_buy_rate,funnel_order,one_time_buyers,r_score,f_score,segment,user_count,avg_recency_days,avg_frequency,cohort_date,day_number,retained_users,cohort_users,retention_rate,category_id,item_count,buy_pv_rate,item_id
overview,2017-11-25,2017-12-03,2150796.0,21202.0,657580.0,6550.0,43406.0,14418.0,9520.0,0.6602857539187127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
behavior,,,,,,,,,,,pv,1925434.0,0.8952192583583009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
behavior,,,,,,,,,,,fav,62166.0,0.028903717507378662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
behavior,,,,,,,,,,,cart,119790.0,0.05569565872356095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
behavior,,,,,,,,,,,buy,43406.0,0.02018136541075955,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily,,,,,,,,,,,,227572.0,,2017-11-25,15100.0,135390.0,204302.0,6595.0,12381.0,4294.0,,,,,,,,,,,,,,,,,,,,,
daily,,,,,,,,,,,,228642.0,,2017-11-26,15372.0,135981.0,204720.0,6771.0,12592.0,4559.0,,,,,,,,,,,,,,,,,,,,,
daily,,,,,,,,,,,,216117.0,,2017-11-27,15189.0,132061.0,193297.0,6258.0,11862.0,4700.0,,,,,,,,,,,,,,,,,,,,,
daily,,,,,,,,,,,,214755.0,,2017-11-28,15248.0,131442.0,192078.0,6246.0,11831.0,4600.0,,,,,,,,,,,,,,,,,,,,,
daily,,,,,,,,,,,,221092.0,,2017-11-29,15493.0,134332.0,197824.0,6433.0,11953.0,4882.0,,,,,,,,,,,,,,,,,,,,,
daily,,,,,,,,,,,,228992.0,,2017-11-30,15759.0,136137.0,205142.0,6363.0,12605.0,4882.0,,,,,,,,,,,,,,,,,,,,,
daily,,,,,,,,,,,,245664.0,,2017-12-01,16212.0,145108.0,219934.0,6798.0,14195.0,4737.0,,,,,,,,,,,,,,,,,,,,,
